nk,pr,sk,vn,pz
460,0.001755,0.820045,0.542725,0.003052
409,0.001560,0.821606,0.545776,0.003052
413,0.001575,0.823181,0.548828,0.003052
405,0.001545,0.824726,0.551880,0.003052
371,0.001415,0.826141,0.554932,0.003052
413,0.001575,0.827717,0.557983,0.003052
370,0.001411,0.829128,0.561035,0.003052
361,0.001377,0.830505,0.564087,0.003052
405,0.001545,0.832050,0.567139,0.003052
427,0.001629,0.833679,0.570190,0.003052
363,0.001385,0.835064,0.573242,0.003052
432,0.001648,0.836712,0.576294,0.003052
416,0.001587,0.838299,0.579346,0.003052
397,0.001514,0.839813,0.582397,0.003052
358,0.001366,0.841179,0.585449,0.003052
374,0.001427,0.842606,0.588501,0.003052
370,0.001411,0.844017,0.591553,0.003052
400,0.001526,0.845543,0.594604,0.003052
355,0.001354,0.846897,0.597656,0.003052
356,0.001358,0.848255,0.600708,0.003052
349,0.001331,0.849586,0.603760,0.003052
362,0.001381,0.850967,0.606812,0.003052
406,0.001549,0.852516,0.609863,0.003052
348,0.001328,0.853844,0.612915,0.003052
374,0.001427,0.855270,0.615967,0.003052
414,0.001579,0.856850,0.619019,0.003052
454,0.001732,0.858582,0.622070,0.003052
389,0.001484,0.860065,0.625122,0.003052
382,0.001457,0.861523,0.628174,0.003052
375,0.001431,0.862953,0.631226,0.003052
374,0.001427,0.864380,0.634277,0.003052
352,0.001343,0.865723,0.637329,0.003052
369,0.001408,0.867130,0.640381,0.003052
371,0.001415,0.868546,0.643433,0.003052
352,0.001343,0.869888,0.646484,0.003052
334,0.001274,0.871162,0.649536,0.003052
331,0.001263,0.872425,0.652588,0.003052
304,0.001160,0.873585,0.655640,0.003052
314,0.001198,0.874783,0.658691,0.003052
342,0.001305,0.876087,0.661743,0.003052
311,0.001186,0.877274,0.664795,0.003052
333,0.001270,0.878544,0.667847,0.003052
338,0.001289,0.879833,0.670898,0.003052
301,0.001148,0.880981,0.673950,0.003052
349,0.001331,0.882313,0.677002,0.003052
323,0.001232,0.883545,0.680054,0.003052
328,0.001251,0.884796,0.683105,0.003052
318,0.001213,0.886009,0.686157,0.003052
321,0.001225,0.887234,0.689209,0.003052
328,0.001251,0.888485,0.692261,0.003052
342,0.001305,0.889790,0.695313,0.003052
322,0.001228,0.891018,0.700073,0.004761
277,0.001057,0.892075,0.704834,0.004761
311,0.001186,0.893261,0.709595,0.004761
283,0.001080,0.894341,0.714355,0.004761
289,0.001102,0.895443,0.719116,0.004761
275,0.001049,0.896492,0.723877,0.004761
270,0.001030,0.897522,0.728638,0.004761
226,0.000862,0.898384,0.733398,0.004761
249,0.000950,0.899334,0.738159,0.004761
220,0.000839,0.900173,0.742920,0.004761
236,0.000900,0.901073,0.747681,0.004761
209,0.000797,0.901871,0.752441,0.004761
191,0.000729,0.902599,0.757202,0.004761
207,0.000790,0.903389,0.761963,0.004761
197,0.000751,0.904140,0.766724,0.004761
160,0.000610,0.904751,0.771484,0.004761
181,0.000690,0.905441,0.776245,0.004761
159,0.000607,0.906048,0.781006,0.004761
154,0.000587,0.906635,0.785767,0.004761
128,0.000488,0.907124,0.790527,0.004761
149,0.000568,0.907692,0.795288,0.004761
114,0.000435,0.908127,0.800049,0.004761
124,0.000473,0.908600,0.804810,0.004761
144,0.000549,0.909149,0.809570,0.004761
142,0.000542,0.909691,0.814331,0.004761
140,0.000534,0.910225,0.819092,0.004761
106,0.000404,0.910629,0.823853,0.004761
116,0.000443,0.911072,0.828613,0.004761
115,0.000439,0.911510,0.833374,0.004761
106,0.000404,0.911915,0.838135,0.004761
121,0.000462,0.912376,0.842896,0.004761
133,0.000507,0.912884,0.847656,0.004761
134,0.000511,0.913395,0.852417,0.004761
123,0.000469,0.913864,0.857178,0.004761
116,0.000443,0.914307,0.861938,0.004761
124,0.000473,0.914780,0.866699,0.004761
107,0.000408,0.915188,0.871460,0.004761
119,0.000454,0.915642,0.876221,0.004761
99,0.000378,0.916019,0.880981,0.004761
107,0.000408,0.916428,0.885742,0.004761
101,0.000385,0.916813,0.890503,0.004761
113,0.000431,0.917244,0.895264,0.004761
87,0.000332,0.917576,0.900024,0.004761
94,0.000359,0.917934,0.904785,0.004761
97,0.000370,0.918304,0.909546,0.004761
102,0.000389,0.918694,0.914307,0.004761
90,0.000343,0.919037,0.919067,0.004761
94,0.000359,0.919395,0.923828,0.004761
110,0.000420,0.919815,0.928589,0.004761
106,0.000404,0.920219,0.933350,0.004761
112,0.000427,0.920647,0.938110,0.004761
92,0.000351,0.920998,0.942871,0.004761
127,0.000484,0.921482,0.947632,0.004761
110,0.000420,0.921902,0.952393,0.004761
130,0.000496,0.922398,0.957153,0.004761
102,0.000389,0.922787,0.961914,0.004761
111,0.000423,0.923210,0.966675,0.004761
117,0.000446,0.923656,0.971436,0.004761
162,0.000618,0.924274,0.976196,0.004761
178,0.000679,0.924953,0.980957,0.004761
196,0.000748,0.925701,0.985718,0.004761
345,0.001316,0.927017,0.990479,0.004761
3088,0.011780,0.938797,0.995239,0.004761
16044,0.061203,1.000000,1.000000,0.004761
